YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,T2M_RANGE
2021,5,7,5.86,6.38,0.66,409.27,115.34,124.52,15.16,0.43,2.21,2.59,26.55,27.44,-267.77
2021,5,8,5.74,6.29,0.64,411.23,112.75,122.5,14.74,0.41,2.16,3.46,26.69,27.55,-267.81
2021,5,9,5.14,6.31,0.58,416.39,102.3,124.02,13.85,0.41,2.13,4.21,26.52,27.33,-268.26
2021,5,10,5.56,6.3,0.62,412.02,110.12,123.4,14.61,0.42,2.22,4.37,26.19,27.01,-268.16
2021,5,11,5.25,6.28,0.59,414.05,104.29,122.71,13.96,0.41,-999.0,4.13,26.49,27.19,-267.57
2021,5,12,5.37,6.09,0.61,419.44,106.56,119.58,14.15,0.4,2.04,3.88,26.5,27.17,-268.13
2021,5,13,0.71,6.03,0.08,426.21,15.86,119.66,2.48,0.07,0.35,3.62,26.2,26.5,-269.86
2021,5,14,3.65,6.14,0.41,420.25,75.02,121.38,10.72,0.32,1.63,3.81,25.91,26.08,-270.66
2021,5,15,5.68,6.21,0.65,405.27,111.33,120.59,14.69,0.42,2.2,4.03,25.79,26.04,-269.23
2021,5,16,6.0,6.2,0.69,401.77,117.42,120.73,15.24,0.43,2.24,3.7,25.64,25.96,-268.78
2021,5,17,5.33,6.22,0.61,412.94,105.09,121.1,14.02,0.41,2.13,3.52,25.79,26.18,-267.88
2021,5,18,3.98,6.1,0.46,425.8,81.34,119.73,11.27,0.33,1.7,3.26,25.97,26.47,-268.17
2021,5,19,5.26,6.06,0.61,423.34,104.77,119.12,13.9,0.4,2.06,2.52,25.89,26.49,-268.27
2021,5,20,5.92,6.04,0.69,410.73,116.29,118.29,14.96,0.41,2.13,2.45,26.06,26.55,-268.24
2021,5,21,5.26,6.09,0.61,415.25,103.62,118.86,13.73,0.38,1.98,3.24,25.94,26.38,-268.81
2021,5,22,6.11,6.24,0.71,388.59,117.41,119.32,15.13,0.44,2.3,3.02,25.81,25.98,-268.02
2021,5,23,5.27,6.13,0.62,400.73,102.63,118.21,13.59,0.4,2.09,3.02,25.97,26.02,-267.65
2021,5,24,5.93,6.14,0.7,398.42,114.73,118.29,14.84,0.43,2.24,2.95,25.96,26.08,-267.75
2021,5,25,5.92,6.02,0.7,396.91,113.63,115.24,14.48,0.41,2.22,2.73,25.95,26.15,-267.11
2021,5,26,5.73,6.12,0.67,405.95,110.88,117.88,14.47,0.43,2.3,3.88,26.16,26.32,-267.49
2021,5,27,4.09,6.03,0.48,425.98,81.23,117.53,11.25,0.34,1.77,4.02,25.76,26.08,-268.44
2021,5,28,3.32,6.02,0.39,427.74,68.03,116.98,9.7,0.3,1.55,3.55,25.58,25.92,-268.45
2021,5,29,5.8,6.03,0.69,399.18,112.23,116.1,14.48,0.41,2.11,3.28,25.65,25.8,-267.46
2021,5,30,4.36,5.84,0.52,423.32,87.47,114.88,11.88,0.34,1.74,3.48,25.82,26.26,-267.62
2021,5,31,4.34,5.88,0.52,425.18,86.73,115.59,11.81,0.34,1.77,3.34,25.84,26.28,-269.12
2021,6,1,5.74,5.88,0.69,399.75,111.09,113.52,14.23,0.39,2.05,2.89,25.55,25.74,-268.75
2021,6,2,5.49,5.95,0.66,400.57,107.55,115.77,13.99,0.39,2.04,3.34,25.37,25.62,-268.2
2021,6,3,5.35,5.94,0.64,406.12,104.66,115.3,13.73,0.38,1.93,3.45,25.26,25.9,-268.47
2021,6,4,5.63,5.83,0.67,402.59,109.41,113.04,14.09,0.38,2.02,3.87,25.71,26.11,-268.35
2021,6,5,5.03,5.8,0.6,410.98,99.35,113.23,13.11,0.38,1.98,3.45,25.53,25.95,-268.29
2021,6,6,5.05,5.82,0.61,416.38,99.67,113.94,13.16,0.37,1.93,3.95,25.43,25.82,-268.99
2021,6,7,4.59,5.83,0.55,418.52,91.38,114.02,12.38,0.35,1.86,3.25,25.47,26.02,-267.98
2021,6,8,3.04,5.81,0.37,422.68,63.0,114.1,9.05,0.26,1.32,3.34,25.3,25.83,-268.67
2021,6,9,4.94,5.84,0.59,411.97,96.99,113.54,12.87,0.36,1.9,3.51,25.58,25.97,-268.21
2021,6,10,5.07,5.85,0.61,399.74,98.62,112.91,12.9,0.34,1.78,3.56,25.57,26.04,-268.28
2021,6,11,5.22,5.85,0.63,401.04,101.88,113.41,13.29,0.37,1.9,3.25,25.45,25.85,-267.36
2021,6,12,5.85,5.84,0.71,387.3,111.62,111.29,14.05,0.39,2.05,3.18,25.27,25.76,-266.49
2021,6,13,5.46,5.84,0.66,395.37,105.56,112.57,13.62,0.38,1.98,3.17,25.28,25.93,-266.65
2021,6,14,3.74,5.77,0.45,421.2,76.52,113.84,10.66,0.3,1.57,3.52,25.4,26.05,-267.91
2021,6,15,4.71,5.75,0.57,416.73,94.48,113.65,12.66,0.35,1.84,2.97,25.37,26.07,-268.26
2021,6,16,5.11,5.76,0.62,413.4,101.41,113.3,13.35,0.38,1.99,3.56,25.58,26.26,-267.97
2021,6,17,5.0,5.76,0.61,416.03,100.2,114.15,13.21,0.38,1.97,3.59,25.83,26.48,-268.04
2021,6,18,3.17,5.73,0.38,430.15,65.7,113.44,9.39,0.27,1.42,4.36,25.0,25.59,-269.09
2021,6,19,3.74,5.72,0.45,419.46,76.14,113.05,10.59,0.3,1.54,4.07,25.24,25.83,-268.82
2021,6,20,4.26,5.77,0.52,414.83,85.98,114.01,11.64,0.32,1.69,2.7,25.44,25.98,-268.5
2021,6,21,5.57,5.83,0.68,397.73,108.55,113.29,13.96,0.38,1.94,3.15,25.43,25.77,-268.9
2021,6,22,4.55,5.77,0.55,408.52,89.51,111.84,12.01,0.33,1.7,2.83,25.47,25.91,-267.88
2021,6,23,5.27,5.81,0.64,399.62,102.93,112.58,13.46,0.37,1.9,3.3,25.36,25.8,-268.49
2021,6,24,2.99,5.7,0.37,422.83,62.09,112.06,8.95,0.25,1.3,3.49,24.8,25.29,-269.06
